"Date (00:00 UTC,Coingecko)",Relative to the ETH Price at Launch,ETH price,TEC price (USD),Market Cap (USD),Token Supply (TEC),TEC price (ETH),Notes
7/14/2021,,"$1,944.40",$1.00,-,-,0.00051430,Hatch Fundraise Begins
7/15/2021,,"$1,997.66",$1.00,-,-,0.00050058,
7/16/2021,,"$1,910.73",$1.00,-,-,0.00052336,
7/17/2021,,"$1,874.20",$1.00,-,-,0.00053356,
7/18/2021,,"$1,899.84",$1.00,-,-,0.00052636,
7/19/2021,,"$1,905.72",$1.00,-,-,0.00052474,
7/20/2021,,"$1,824.93",$1.00,-,-,0.00054797,
7/21/2021,,"$1,794.97",$1.00,-,-,0.00055711,
7/22/2021,,"$2,003.72",$1.00,-,-,0.00049907,
7/23/2021,,"$2,027.53",$1.00,-,-,0.00049321,
7/24/2021,,"$2,117.15",$1.00,-,-,0.00047233,
7/25/2021,,"$2,183.63",$1.00,-,-,0.00045795,
7/26/2021,,"$2,209.50",$1.00,-,-,0.00045259,
7/27/2021,,"$2,230.21",$1.00,-,-,0.00044839,
7/28/2021,,"$2,292.58",$1.00,-,-,0.00043619,
7/29/2021,,"$2,299.69",$1.00,-,-,0.00043484,
7/30/2021,,"$2,383.44",$1.00,-,-,0.00041956,
7/31/2021,,"$2,462.40",$1.00,-,-,0.00040611,
8/1/2021,,"$2,541.67",$1.00,-,-,0.00039344,
8/2/2021,,"$2,555.41",$1.00,-,-,0.00039133,
8/3/2021,,"$2,611.67",$1.00,-,-,0.00038290,
8/4/2021,,"$2,521.27",$1.00,-,-,0.00039663,
8/5/2021,,"$2,724.53",$1.00,-,-,0.00036704,
8/6/2021,,"$2,821.65",$1.00,-,-,0.00035440,
8/7/2021,,"$2,888.73",$1.00,-,-,0.00034617,
8/8/2021,,"$3,151.22",$1.00,-,-,0.00031734,
8/9/2021,,"$3,012.31",$1.00,-,-,0.00033197,
8/10/2021,,"$3,163.06",$1.00,-,-,0.00031615,
8/11/2021,100.00%,"$3,147.84",$1.00,-,-,0.00031768,Hatch Fundraise Ends
8/12/2021,74.55%,"$3,166.65",$0.75,"$1,494,553",-,0.00023684,"Holders can redeem tokens for $0.75 but cannot
sell them"
8/13/2021,77.45%,"$3,048.41",$0.75,"$1,494,553",-,0.00024603,
8/14/2021,71.04%,"$3,323.20",$0.75,"$1,494,553",-,0.00022569,
8/15/2021,72.23%,"$3,268.55",$0.75,"$1,494,553",-,0.00022946,
8/16/2021,71.33%,"$3,309.75",$0.75,"$1,494,553",-,0.00022660,
8/17/2021,74.86%,"$3,153.58",$0.75,"$1,494,553",-,0.00023782,
8/18/2021,78.51%,"$3,007.14",$0.75,"$1,494,553",-,0.00024941,
8/19/2021,77.73%,"$3,037.23",$0.75,"$1,494,553",-,0.00024694,
8/20/2021,75.07%,"$3,144.82",$0.75,"$1,494,553",-,0.00023849,
8/21/2021,72.04%,"$3,276.97",$0.75,"$1,494,553",-,0.00022887,
8/22/2021,73.23%,"$3,224.00",$0.75,"$1,494,553",-,0.00023263,
8/23/2021,72.79%,"$3,243.49",$0.75,"$1,494,553",-,0.00023123,
8/24/2021,71.10%,"$3,320.41",$0.75,"$1,494,553",-,0.00022588,
8/25/2021,74.30%,"$3,177.66",$0.75,"$1,494,553",-,0.00023602,
8/26/2021,73.06%,"$3,231.44",$0.75,"$1,494,553",-,0.00023209,
8/27/2021,75.60%,"$3,122.97",$0.75,"$1,494,553",-,0.00024016,
8/28/2021,72.25%,"$3,267.54",$0.75,"$1,494,553",-,0.00022953,
8/29/2021,72.74%,"$3,245.43",$0.75,"$1,494,553",-,0.00023109,
8/30/2021,73.02%,"$3,233.38",$0.75,"$1,494,553",-,0.00023196,
8/31/2021,73.03%,"$3,232.73",$0.75,"$1,494,553",-,0.00023200,
9/1/2021,68.62%,"$3,440.56",$0.75,"$1,494,553",-,0.00021799,
9/2/2021,62.28%,"$3,790.61",$0.75,"$1,494,553",-,0.00019786,
9/3/2021,62.24%,"$3,793.30",$0.75,"$1,494,553",-,0.00019772,
9/4/2021,59.98%,"$3,936.16",$0.75,"$1,494,553",-,0.00019054,
9/5/2021,60.61%,"$3,894.94",$0.75,"$1,494,553",-,0.00019256,
9/6/2021,59.77%,"$3,950.27",$0.75,"$1,494,553",-,0.00018986,
9/7/2021,59.87%,"$3,943.26",$0.75,"$1,494,553",-,0.00019020,
9/8/2021,68.62%,"$3,440.34",$0.75,"$1,494,553",-,0.00021800,
9/9/2021,67.51%,"$3,496.86",$0.75,"$1,494,553",-,0.00021448,
9/10/2021,68.71%,"$3,435.98",$0.75,"$1,494,553",-,0.00021828,
9/11/2021,73.55%,"$3,209.92",$0.75,"$1,494,553",-,0.00023365,
9/12/2021,72.24%,"$3,268.10",$0.75,"$1,494,553",-,0.00022949,
9/13/2021,69.08%,"$3,417.84",$0.75,"$1,494,553",-,0.00021944,
9/14/2021,71.52%,"$3,301.19",$0.75,"$1,494,553",-,0.00022719,
9/15/2021,68.93%,"$3,425.25",$0.75,"$1,494,553",-,0.00021896,
9/16/2021,65.65%,"$3,595.96",$0.75,"$1,494,553",-,0.00020857,
9/17/2021,66.07%,"$3,573.31",$0.75,"$1,494,553",-,0.00020989,
9/18/2021,69.19%,"$3,412.18",$0.75,"$1,494,553",-,0.00021980,
9/19/2021,68.88%,"$3,427.58",$0.75,"$1,494,553",-,0.00021881,
9/20/2021,70.77%,"$3,335.88",$0.75,"$1,494,553",-,0.00022483,
9/21/2021,79.30%,"$2,977.32",$0.75,"$1,494,553",-,0.00025190,
9/22/2021,86.03%,"$2,744.11",$0.75,"$1,494,553",-,0.00027331,
